manual_ht,plot,data_07_02.0.1,data_07_02.0.2,data_07_02.0.21092202170754804,data_07_02.0.3,data_07_02.0.4,data_07_02.0.5,data_07_02.0.6,data_07_02.0.7,data_07_02.0.8,data_07_02.0.9,data_07_02.0.9946622335380833,data_07_02.1.0,data_07_02.name,data_07_15.0.1,data_07_15.0.2,data_07_15.0.21092202170754804,data_07_15.0.3,data_07_15.0.4,data_07_15.0.5,data_07_15.0.6,data_07_15.0.7,data_07_15.0.8,data_07_15.0.9,data_07_15.0.9946622335380833,data_07_15.1.0,data_07_15.name,data_07_28.0.1,data_07_28.0.2,data_07_28.0.21092202170754804,data_07_28.0.3,data_07_28.0.4,data_07_28.0.5,data_07_28.0.6,data_07_28.0.7,data_07_28.0.8,data_07_28.0.9,data_07_28.0.9946622335380833,data_07_28.1.0,data_07_28.name,data_08_12.0.1,data_08_12.0.2,data_08_12.0.21092202170754804,data_08_12.0.3,data_08_12.0.4,data_08_12.0.5,data_08_12.0.6,data_08_12.0.7,data_08_12.0.8,data_08_12.0.9,data_08_12.0.9946622335380833,data_08_12.1.0,data_08_12.name,data_09_02.0.1,data_09_02.0.2,data_09_02.0.21092202170754804,data_09_02.0.3,data_09_02.0.4,data_09_02.0.5,data_09_02.0.6,data_09_02.0.7,data_09_02.0.8,data_09_02.0.9,data_09_02.0.9946622335380833,data_09_02.1.0,data_09_02.name,data_09_11.0.1,data_09_11.0.2,data_09_11.0.21092202170754804,data_09_11.0.3,data_09_11.0.4,data_09_11.0.5,data_09_11.0.6,data_09_11.0.7,data_09_11.0.8,data_09_11.0.9,data_09_11.0.9946622335380833,data_09_11.1.0,data_09_11.name,data_09_24.0.1,data_09_24.0.2,data_09_24.0.21092202170754804,data_09_24.0.3,data_09_24.0.4,data_09_24.0.5,data_09_24.0.6,data_09_24.0.7,data_09_24.0.8,data_09_24.0.9,data_09_24.0.9946622335380833,data_09_24.1.0,data_09_24.name,data_10_07.0.1,data_10_07.0.2,data_10_07.0.21092202170754804,data_10_07.0.3,data_10_07.0.4,data_10_07.0.5,data_10_07.0.6,data_10_07.0.7,data_10_07.0.8,data_10_07.0.9,data_10_07.0.9946622335380833,data_10_07.1.0,data_10_07.name
139.0,EL19_5098,754.202,754.232,754.2339999999999,754.2560000000001,754.2760000000002,754.295,754.317,754.3439999999999,754.3739999999999,754.431,755.1841585849976,755.453,EL19_5098,754.1609000000001,754.198,754.202,754.225,754.2470000000002,754.2710000000002,754.328,754.791,755.3181999999999,755.9643,756.6800000000002,757.1560000000002,EL19_5098,754.278,754.317,754.321,754.3489999999999,754.3906000000001,754.467,754.8216000000001,755.4456,756.1429999999999,757.2446,758.3857353996527,758.9300000000002,EL19_5098,754.4758000000002,757.5674,757.6410000000001,757.993,758.2352000000001,758.418,758.547,758.654,758.7810000000002,758.9312000000001,759.535,759.73,EL19_5098,756.1320000000001,757.0864,757.1271748535628,757.4058000000001,757.6654000000001,757.832,757.946,758.043,758.1510000000002,758.3430000000001,758.743724188628,758.9780000000002,EL19_5098,754.3380000000001,757.1519999999999,757.202,757.5544,757.789,757.928,758.0550000000001,758.193,758.342,758.546,759.0349832005194,759.322,EL19_5098,754.2862,754.328,754.3330000000001,754.373,754.5089999999999,755.745,756.6351999999999,757.2310000000001,757.7316000000001,758.1569999999999,758.6848496711702,759.092,EL19_5098,754.2620000000002,754.3000000000002,754.306,754.3631,755.2752000000002,756.8689999999999,757.6578,757.8809,758.1322,758.4739000000001,759.2270160279191,760.488,EL19_5098
129.5,EL19_5099,754.184,754.2090000000003,754.211,754.2260000000001,754.2410000000001,754.2560000000001,754.2719999999999,754.29,754.318,754.4456,755.3487392404979,755.7,EL19_5099,754.1419999999999,754.1782,754.182,754.212,754.245,754.301,754.5419999999999,754.768,755.081,755.5254,756.4771431631382,756.822,EL19_5099,754.4848,755.4839999999999,755.6110000000001,756.1872000000001,756.5752000000001,756.83,757.0500000000002,757.27,757.4939999999999,757.7362,758.1297948963916,758.4830000000002,EL19_5099,757.0727999999999,757.4112,757.4380676145669,757.6370000000002,757.8212,757.9830000000002,758.1338,758.29,758.4250000000002,758.5812000000001,758.9751974121716,759.299,EL19_5099,756.6483000000001,756.8686,756.8924328672804,757.0799000000001,757.2722,757.4910000000001,757.681,757.8560000000001,758.0014000000001,758.1439999999999,758.518451882224,758.865,EL19_5099,756.71,757.0394,757.0683287777811,757.2776,757.4668,757.6569999999999,757.8286,758.0134,758.1428,758.3198000000001,758.7304634291258,759.2130000000001,EL19_5099,754.2912,754.39,754.4048361185293,755.5038000000001,756.337,756.6339999999999,756.9903999999999,757.3394,757.6646,757.9488000000001,758.5837882661915,758.812,EL19_5099,754.2520000000002,754.314,754.321,754.426,754.716,755.177,755.586,756.225,756.966,757.5880000000001,758.7054893415234,759.086,EL19_5099
131.5,EL19_5101,754.1510000000002,754.172,754.174748285275,754.194,754.22,754.243,754.27,754.297,754.3240000000002,754.365,754.4793261294993,755.03,EL19_5101,754.065,754.092,754.095,754.115,754.143,754.178,754.2260000000001,754.302,754.4350000000002,754.9490000000002,755.883,756.8820000000002,EL19_5101,754.1706,754.2239999999999,754.2260173733747,754.258,754.3044,754.3510000000001,754.4025999999999,754.4962000000002,754.774,755.4708,757.595880889752,758.7489999999999,EL19_5101,754.154,754.253,754.258,754.337,754.557,755.4984999999999,756.721,757.3995,757.813,758.2270000000001,758.831977602317,759.0189999999999,EL19_5101,754.3820000000002,755.7482000000001,755.8098155445135,756.1671999999999,756.3939999999998,756.5975000000001,756.8232,757.056,757.423,757.7493,758.3338950872155,758.7689999999999,EL19_5101,755.4133,756.118,756.1580823445216,756.4689999999999,756.6389999999999,756.7955,756.9580000000001,757.118,757.3438000000001,757.6413999999999,758.3997744264409,758.916,EL19_5101,754.299,754.4294,754.460610463866,755.1956,755.7665999999999,756.1370000000002,756.4590000000002,756.69,756.9816000000001,757.3352,758.2641512294379,758.808,EL19_5101,754.205,754.306,754.318,754.453,754.8178,755.4595000000002,756.1030000000002,756.5637,756.9069999999999,757.456,758.7684538902708,759.128,EL19_5101
130.5,EL19_5102,754.291,754.316,754.319,754.34,754.362,754.385,754.41,754.4350000000002,754.475,754.6208000000001,755.430873385653,755.4760000000001,EL19_5102,754.2040000000002,754.2460000000001,754.25,754.2760000000002,754.304,754.331,754.3720000000002,754.6320000000002,755.212,755.942,757.4314755261388,758.1,EL19_5102,754.3389999999999,754.3910000000001,754.3989999999999,754.429,754.46,754.49,754.525,754.6089999999999,754.878,756.044,758.607,759.694,EL19_5102,754.3111,754.385,754.3957273047857,754.4693,754.5932,755.1685,755.7857999999999,757.1541,758.1568,758.9176,759.7214377869108,760.154,EL19_5102,754.3177,754.4044,754.4111843020517,754.5041,755.6418000000001,756.629,757.2402000000001,757.6038,757.915,758.3045999999999,758.8469776875045,759.1320000000002,EL19_5102,754.335,754.4060000000002,754.414,754.515,755.4898,756.529,757.2132,757.7828000000001,758.1116,758.5183,759.155804259998,759.64,EL19_5102,754.3389999999999,754.4004,754.4069999999999,754.452,754.5089999999999,754.7055,755.5536000000001,756.3439999999999,756.9556,757.3379,758.4844454978404,758.8989999999999,EL19_5102,754.2681,754.345,754.355,754.438,754.5894,755.165,756.1181999999999,756.8007000000001,757.2837999999999,757.8743000000001,758.9283607045098,759.558,EL19_5102
102.5,EL19_5103,754.328,754.3510000000001,754.3533430528045,754.373,754.3966,754.422,754.447,754.4780000000001,754.517,754.5916,755.3777599003164,756.0269999999999,EL19_5103,754.2620000000002,754.298,754.3000000000002,754.3327,754.3660000000001,754.404,754.5074000000001,755.1406,755.457,756.0233000000001,756.8825124402,757.6239999999999,EL19_5103,754.3889999999999,754.433,754.438,754.4656,754.4978000000001,754.543,754.615,754.8658,755.3825999999999,756.4685999999999,758.0638410937449,758.6800000000002,EL19_5103,754.4,754.4636,754.4686952499144,754.543,754.7104,755.181,755.8810000000002,756.3151,756.8088,757.2136999999999,758.2420764301395,759.4730000000002,EL19_5103,754.326,754.3668,754.37,754.404,754.441,754.4939999999999,754.6378,755.0453,755.6232000000001,756.4513000000001,757.6024868782993,758.053,EL19_5103,754.3139999999999,754.347,754.35,754.3760000000001,754.3989999999999,754.428,754.4649999999999,754.553,754.8966,755.6610000000002,757.5710046149372,758.1460000000002,EL19_5103,754.3489999999999,754.3806000000001,754.383,754.403,754.4250000000002,754.447,754.48,754.539,754.6864,755.2184,756.3467973547426,757.102,EL19_5103,754.27,754.308,754.311,754.3380000000001,754.3660000000001,754.3960000000002,754.431,754.4808,754.5896,754.9580000000001,756.2138010300857,756.6800000000002,EL19_5103
150.5,EL19_5104,754.3919999999998,754.418,754.4192318513658,754.439,754.4639999999999,754.488,754.5139999999999,754.539,754.569,754.6218000000002,754.9350589807402,755.307,EL19_5104,754.3290000000002,754.357,754.36,754.3820000000002,754.4019999999999,754.4250000000002,754.452,754.482,754.5792000000001,755.5374999999999,756.8047257756101,758.203,EL19_5104,754.4611,754.4960000000001,754.5,754.5239999999999,754.553,754.576,754.6080000000002,754.6499999999999,754.9556,757.0306999999999,758.3059791990454,758.784,EL19_5104,754.433,754.4810000000001,754.4839999999999,754.525,754.569,754.6220000000002,754.809,756.2180000000001,756.623,757.3639999999999,759.9529735813502,761.118,EL19_5104,754.3720000000002,754.413,754.4169999999999,754.452,754.48,754.525,754.582,754.687,755.1106,756.9472,760.1979436918447,761.2339999999999,EL19_5104,754.3810000000001,754.424,754.429,754.4630000000001,754.5047999999999,754.566,754.8222000000001,755.5199,756.797,758.9379,760.3519241127558,760.727,EL19_5104,754.3978,754.443,754.448,754.485,754.5321999999999,754.6189999999999,754.9384,755.243,755.6447999999999,756.5088000000001,759.5584127142998,760.013,EL19_5104,754.3389999999999,754.4069999999999,754.413,754.461,754.549,754.921,755.322,755.6139999999999,756.28,757.95,760.4030476285798,761.188,EL19_5104
91.0,EL19_5105,754.446,754.487,754.4910000000001,754.5239999999999,754.5598000000002,754.5865,754.613,754.635,754.664,754.7143,755.520675537797,755.66,EL19_5105,754.3820000000001,754.415,754.419,754.441,754.4789999999998,754.5189999999999,754.5530000000001,754.595,755.1206,755.6323,756.6415765785852,757.5310000000002,EL19_5105,754.5260000000001,754.5646,754.569,754.6030000000002,754.638,754.669,754.7088000000001,754.78,755.114,756.62,758.6196837695989,758.694,EL19_5105,754.488,754.5360000000002,754.541,754.577,754.6260000000001,754.6800000000002,754.7760000000002,755.3512000000002,756.6612,757.5350000000001,758.9287049551626,759.148,EL19_5105,754.4449999999999,754.4810000000001,754.4839999999999,754.5093999999999,754.546,754.5980000000002,754.7639999999999,755.6314,756.1166000000001,756.767,758.0730409788871,758.4639999999999,EL19_5105,754.442,754.477,754.4830000000002,754.5219999999999,754.5740000000002,754.6610000000002,755.3266000000001,756.2564000000002,757.0249999999999,757.6578,758.4110000000002,758.791,EL19_5105,754.461,754.4970000000002,754.5007593596569,754.5260000000002,754.566,754.6155000000001,754.666,754.8032999999999,755.9852000000001,756.7851,758.4245136523193,758.716,EL19_5105,754.4077,754.452,754.455,754.4939999999999,754.5419999999999,754.5975000000001,754.6872,755.1948000000001,756.0881999999999,756.7622,758.6921701124064,759.04,EL19_5105
137.5,EL19_5106,754.422,754.46,754.4630000000001,754.492,754.523,754.5550000000002,754.585,754.6189999999999,754.6912,755.091,755.8365382430438,756.065,EL19_5106,754.395,754.431,754.4350000000002,754.466,754.51,754.6060000000001,755.2574000000001,755.567,755.9382,756.3722,757.538,758.087,EL19_5106,754.5222999999999,754.5896,754.597,754.648,754.7278,755.221,755.9708,756.6036000000001,757.3094000000001,758.076,759.5543573845367,759.7610000000001,EL19_5106,754.596,755.3502,755.5093419329876,756.1648,756.5398,756.8510000000001,757.145,757.4630000000001,757.8298000000001,758.3222000000001,759.8032335377086,761.207,EL19_5106,754.436,754.5189999999999,754.5268511553542,754.595,754.7539999999999,755.4739999999999,755.993,756.385,756.7439999999999,757.4019999999999,758.6947173880529,759.0989999999999,EL19_5106,754.4580000000001,754.54,754.547,754.623,754.8488,755.308,756.075,757.049,757.6548,758.3552000000001,759.4770455109795,759.928,EL19_5106,754.4626000000001,754.5089999999999,754.515,754.557,754.5989999999999,754.654,754.8578,756.0762000000001,756.9952000000001,757.8534000000001,759.1635906592788,759.607,EL19_5106,754.3939999999999,754.461,754.47,754.546,756.4056,757.291,757.71,758.1003000000001,758.4952000000001,758.9665,759.744407086858,760.046,EL19_5106
149.0,EL19_5107,754.42,754.453,754.456,754.4789999999999,754.5041999999999,754.528,754.5588,754.587,754.6568000000001,755.3000000000002,756.1218451390778,757.034,EL19_5107,754.3833999999999,754.426,754.431,754.47,754.5319999999999,755.0500000000002,755.39,755.6769999999999,755.9434,756.2610000000001,757.1920583041128,757.623,EL19_5107,754.4960000000001,754.5550000000002,754.561,754.6010000000001,754.6792,755.018,755.5654000000001,756.1156000000001,756.5874,757.4878,758.6986057793736,760.1389999999999,EL19_5107,755.5738,755.8330000000001,755.8521360932255,756.1352999999999,756.5488,756.8834999999999,757.2556,757.9049,758.5122000000001,759.0336,760.6112736963019,761.518,EL19_5107,754.5432,755.7034,755.7924317474636,756.4533,756.9104,757.212,757.4789999999999,757.8027,758.1381999999999,758.5396999999999,759.3581871869426,759.945,EL19_5107,754.548,757.0756000000001,757.1489999999999,757.4453,757.758,758.053,758.3290000000002,758.6160000000001,758.8868000000001,759.1854000000001,759.9889560760026,760.466,EL19_5107,754.4795999999999,754.5419999999999,754.5485705863991,754.6256000000001,755.6014,756.436,756.8746,757.3564000000001,757.8036,758.312,759.2606235572465,759.846,EL19_5107,754.4835,754.6410000000001,754.6966192528434,756.0364999999999,757.04,757.4860000000001,757.922,758.445,758.94,759.545,760.3916414982782,760.8969999999999,EL19_5107
135.5,EL19_5108,754.452,754.4839999999999,754.4860000000001,754.5039999999999,754.5239999999999,754.54,754.559,754.578,754.6080000000002,754.9146000000001,755.5850595064855,755.775,EL19_5108,754.4024,754.45,754.4540000000002,754.487,754.539,754.9119999999999,755.2533999999999,755.4848000000001,755.7392,756.0419999999999,756.5968204534191,757.1439999999999,EL19_5108,754.6080000000002,754.9010000000002,754.9360739135597,755.4215,755.878,756.371,756.694,757.0535,757.428,757.861,758.4724624725693,758.878,EL19_5108,755.4064000000001,758.3928,758.4360565401851,758.7639999999999,758.9540000000002,759.091,759.2364,759.357,759.46,759.5939999999999,760.525200235639,760.8389999999999,EL19_5108,757.828,758.1619999999999,758.18625400013,758.367,758.5089999999999,758.6220000000002,758.7280000000002,758.835,758.944,759.082,759.4452143869005,759.686,EL19_5108,758.1110000000001,758.3580000000002,758.3810000000001,758.5464000000001,758.69,758.804,758.9198,759.047,759.177,759.3380000000001,759.7899741119686,760.0260000000002,EL19_5108,753.1994000000002,754.4785999999999,754.4973941069435,756.3761999999999,757.5646,758.1239999999999,758.3824000000002,758.5060000000001,758.6139999999999,758.7639999999999,759.2018480939346,759.4490000000002,EL19_5108,756.8793,757.4998,757.5530000000001,757.814,758.073,758.3480000000002,758.534,758.706,758.9274,759.1494,759.6755318537871,760.164,EL19_5108
